Route,Origin,Destination,VehicleType,DepartureTime,ArrivalTime,Passengers,Distance_km,Delay_min,FuelUsed_Liters,Revenue_USD,Canceled,CongestionFactor
Route D,Dallas,Miami,Flight,21:57:00,00:17:00,81,1396,30,183.99,22803.52,0,1.2698004617768355
Route C,Seattle,Los Angeles,Bus,05:39:00,10:57:00,38,303,73,28.99,3387.94,0,0.998744682316226
Route C,San Francisco,Los Angeles,Train,23:14:00,10:46:00,367,1681,89,483.64,123825.22,0,1.4802474579046725
Route A,Miami,Seattle,Bus,03:53:00,08:18:00,19,1550,74,308.83,13804.68,0,1.4263791452993542
Route A,Houston,Los Angeles,Flight,20:35:00,21:31:00,285,180,37,13.14,25490.18,1,1.456986896311025
Route C,New York,Los Angeles,Bus,03:28:00,19:02:00,13,1170,11,230.57,6855.24,0,1.1989227794099215
Route B,Seattle,Los Angeles,Train,17:33:00,02:24:00,357,1408,35,195.98,233327.14,0,1.1832124148293781
Route A,Seattle,Dallas,Flight,20:05:00,01:25:00,110,2155,29,124.93,111379.68,1,1.0258804717943086
Route B,Miami,New York,Flight,16:01:00,18:03:00,209,1377,-4,172.65,68979.33,0,1.2431710200912875
Route A,Miami,San Francisco,Flight,09:01:00,10:57:00,295,834,17,82.48,104253.85,0,1.0516438058538287
Route D,Miami,Los Angeles,Flight,00:53:00,04:57:00,265,1982,31,303.77,165943.4,0,1.2227705104507587
Route D,San Francisco,Los Angeles,Train,15:15:00,03:32:00,210,1204,8,94.2,41630.48,0,1.2494221523080014
Route E,San Francisco,New York,Flight,02:40:00,06:13:00,266,1871,46,353.17,127248.69,0,1.0240347207214282
Route A,Los Angeles,Miami,Train,10:50:00,15:01:00,310,441,19,94.32,63704.65,0,1.4484106149593443
Route D,Houston,Chicago,Bus,14:11:00,09:31:00,22,1003,86,104.97,10078.84,0,0.9558034922997214
Route B,Houston,San Francisco,Bus,11:40:00,15:11:00,40,125,55,24.92,1763.67,1,1.4654250028562892
Route E,Chicago,New York,Bus,13:33:00,04:51:00,18,2018,74,213.16,13625.64,0,0.8646034103601223
Route C,Chicago,Houston,Flight,13:59:00,16:33:00,172,1364,21,315.82,53133.7,0,1.243630994604124
Route D,Dallas,Houston,Bus,02:52:00,19:33:00,23,763,67,63.15,3683.41,0,0.9435317299545675
Route B,Los Angeles,New York,Train,06:58:00,20:17:00,490,1869,26,193.5,171600.97,0,0.8738459818811894
Route C,New York,Dallas,Bus,04:33:00,10:00:00,52,2150,61,127.76,16943.5,0,0.9681019331447351
Route E,Chicago,New York,Bus,17:57:00,14:07:00,31,1078,76,63.28,9501.12,0,0.8620917736299389
Route C,Los Angeles,New York,Bus,20:41:00,12:47:00,14,1259,-2,218.5,6738.99,0,1.3159248897537061
Route E,Los Angeles,New York,Bus,22:55:00,21:48:00,58,1874,2,323.8,27955.12,1,1.0637172789565585
Route A,San Francisco,Seattle,Bus,20:53:00,07:13:00,25,520,-4,87.58,4524.69,1,1.4231846487236415
Route C,New York,Miami,Train,21:02:00,23:52:00,271,317,38,59.46,25086.42,1,1.354272487628743
Route E,Chicago,Dallas,Flight,01:04:00,05:12:00,289,2126,22,543.49,119610.48,1,1.4041969653923028
Route A,Los Angeles,Dallas,Bus,20:04:00,03:37:00,45,445,36,108.8,2911.35,0,1.462336180017183
Route E,Los Angeles,Dallas,Train,02:49:00,12:11:00,440,970,-3,189.52,153641.84,0,1.1510614062810398
Route D,Houston,Los Angeles,Train,23:58:00,03:56:00,147,450,8,72.95,9004.07,0,1.2434707975326262
Route A,Miami,Dallas,Bus,02:29:00,05:47:00,59,1168,46,165.38,32756.37,0,0.8870080564398813
Route C,Los Angeles,New York,Bus,06:51:00,00:38:00,48,910,56,65.78,12392.0,0,1.1120829269975139
Route C,Houston,Dallas,Bus,09:24:00,17:57:00,23,2499,56,513.14,18157.7,0,1.429767211704521
Route A,Dallas,Miami,Bus,14:03:00,18:04:00,45,179,79,18.54,1919.33,0,1.1799071103433174
Route C,Houston,Los Angeles,Bus,04:25:00,06:58:00,10,166,-7,11.24,332.16,0,0.921306024049592
Route C,Los Angeles,Seattle,Flight,19:15:00,19:53:00,169,318,14,36.46,7060.76,0,0.989582575883452
Route E,Miami,Dallas,Train,07:06:00,20:35:00,492,1268,17,120.38,123271.36,0,1.0574010621416035
Route B,Los Angeles,Chicago,Bus,16:38:00,03:33:00,46,2193,7,322.29,39944.01,0,0.9670178018532382
Route C,Houston,Seattle,Bus,12:40:00,11:55:00,16,1230,29,147.3,4278.34,0,1.0963810364944588
Route A,Seattle,New York,Bus,04:59:00,19:41:00,58,865,-12,143.09,14447.85,0,0.8305226402281036
Route D,Miami,San Francisco,Train,14:32:00,04:06:00,153,2242,50,282.97,93512.75,0,0.9603177736473575
Route C,San Francisco,New York,Train,13:15:00,19:41:00,403,1021,71,120.88,47061.87,0,0.8657873578886084
Route B,New York,San Francisco,Flight,13:49:00,18:11:00,133,2091,74,308.88,95667.06,0,0.9687178262182082
Route B,Los Angeles,Seattle,Bus,16:12:00,14:41:00,15,1683,-15,281.3,10097.1,0,1.2842000780182383
Route D,New York,San Francisco,Flight,22:15:00,00:48:00,153,2192,0,315.39,150827.66,0,1.2875510263589554
Route C,New York,Los Angeles,Train,11:25:00,02:08:00,334,1729,85,86.7,67156.73,0,0.8812508483548414
Route D,Dallas,Chicago,Train,08:38:00,01:49:00,240,2484,76,175.93,185613.25,1,1.1344004236161593
Route B,San Francisco,Chicago,Flight,18:14:00,21:06:00,88,1265,85,106.0,25714.8,0,1.0254554159082248
Route D,Los Angeles,New York,Flight,04:35:00,07:01:00,96,1300,4,248.95,35170.69,0,1.2405790466946838
Route C,Los Angeles,San Francisco,Flight,06:26:00,07:08:00,173,442,-1,21.17,27112.1,0,0.8755239988953132
Route A,Miami,New York,Flight,11:34:00,16:01:00,109,1620,24,159.72,73829.32,0,1.3892801437307905
Route A,Seattle,Miami,Train,21:26:00,10:04:00,180,1620,83,289.68,119085.61,0,1.3325495340318283
Route D,Chicago,Los Angeles,Flight,23:04:00,00:33:00,51,565,8,63.76,13718.59,0,0.8185579173791353
Route E,Seattle,Dallas,Flight,03:12:00,06:38:00,297,2076,17,110.45,305809.9,0,0.894090273857282
Route E,Chicago,Houston,Flight,23:11:00,05:12:00,220,2477,17,390.01,264010.47,0,1.4590253661435675
Route A,San Francisco,Seattle,Bus,18:19:00,19:29:00,27,1784,24,374.35,18982.36,0,1.3863970741351297
Route E,Miami,Houston,Flight,22:14:00,23:57:00,228,1302,-2,265.89,146108.1,0,1.4322057410736384
Route D,Dallas,Los Angeles,Flight,07:46:00,08:59:00,153,84,65,12.7,2354.19,0,1.3287529872223567
Route A,Chicago,Miami,Flight,21:57:00,02:31:00,103,2402,26,279.63,106668.5,0,1.1759576990376588
Route E,Houston,New York,Flight,22:41:00,02:59:00,233,2178,13,500.35,64192.61,0,1.3894639905130968
Route C,San Francisco,Miami,Bus,08:07:00,19:45:00,32,829,17,157.58,8927.18,0,1.268188876864525
