Country,Year,GDP_per_capita,Life_Expectancy,Population,CO2_per_capita
Brazil,2010,20594.53,83.15,175872269,13.57
Brazil,2011,20769.73,79.17,178692377,9.96
Brazil,2012,30622.15,82.03,169311355,9.25
Brazil,2013,38372.76,81.93,190756434,5.32
Brazil,2014,19586.63,84.22,188339079,6.52
Brazil,2015,74456.81,81.04,202856428,9.91
Brazil,2016,99718.61,86.36,184085399,14.22
Brazil,2017,54614.95,85.44,174806771,13.01
Brazil,2018,70262.91,74.51,172308010,0.0
Brazil,2019,35484.6,83.62,222687796,9.83
Brazil,2020,107320.95,75.42,164937458,9.03
South Africa,2000,30252.47,81.56,692202241,7.25
South Africa,2001,30391.14,81.4,698907330,7.48
South Africa,2002,29676.1,81.86,702413212,6.67
South Africa,2003,31801.93,81.09,707328613,6.02
South Africa,2004,40997.07,81.79,710379608,7.3
South Africa,2005,32853.05,81.59,738638705,8.13
South Africa,2006,31001.56,81.17,728803927,2.8
South Africa,2007,25256.42,83.82,785486653,6.37
South Africa,2008,40549.43,82.46,845980874,9.53
South Africa,2009,34948.55,80.29,704558018,7.35
South Africa,2010,29448.3,79.22,740496999,3.5
South Africa,2011,64080.22,84.05,771932912,11.58
South Africa,2012,39428.33,80.09,853568104,8.59
South Africa,2013,26160.28,81.72,744533844,1.2
South Africa,2014,58153.14,87.61,721920674,8.91
South Africa,2015,30471.35,80.85,768990683,2.61
South Africa,2016,42488.66,79.7,829224939,6.21
South Africa,2017,37574.53,79.33,780882118,10.25
South Africa,2018,56220.53,78.94,835335417,10.4
South Africa,2019,16932.65,84.58,785645764,9.55
South Africa,2020,28546.61,75.34,718445095,6.53
Japan,2000,11316.03,73.43,407639621,12.04
Japan,2001,11250.25,73.41,413767042,11.82
Japan,2002,12359.06,73.08,418017327,12.81
Japan,2003,9575.5,73.11,423601288,11.71
Japan,2004,12792.49,73.15,424919232,11.66
Japan,2005,14791.94,73.94,432025530,11.18
Japan,2006,11685.68,73.21,437812381,10.99
Japan,2007,13794.16,76.69,450410056,11.01
Japan,2008,17503.51,73.18,407018393,9.22
Japan,2009,8126.16,73.25,446195441,16.12
Japan,2010,15179.44,73.5,469121797,4.91
Japan,2011,15180.54,75.68,419483395,15.27
Japan,2012,16163.09,73.04,476906149,19.62
Japan,2013,15689.72,74.73,450402357,8.08
Japan,2014,20931.42,71.74,470900723,9.34
Japan,2015,18785.76,75.18,511059653,9.0
Japan,2016,13674.81,71.1,461442980,13.05
Japan,2017,23039.43,71.15,519344119,18.11
Japan,2018,20090.05,81.09,455049199,4.42
Japan,2019,5938.96,80.07,523684580,10.78
Japan,2020,19811.95,69.93,632758953,11.82
Australia,2000,5996.06,79.19,1305305004,11.74
Australia,2001,6454.52,79.51,1328756026,11.53
Australia,2002,5880.44,79.24,1332276389,12.29
Australia,2003,5459.35,80.25,1341703607,11.2
Australia,2004,5751.35,78.06,1380582264,11.63
Australia,2005,5456.04,78.14,1360524067,13.99
Australia,2006,6449.05,77.68,1375524311,10.95
Australia,2007,3862.14,79.46,1388302515,12.85
Australia,2008,10731.2,81.39,1398476219,8.68
Australia,2009,13817.87,79.74,1428479085,11.22
Australia,2010,7746.34,79.4,1401440351,9.6
Australia,2011,7376.72,78.54,1400743801,11.54
Australia,2012,6947.65,83.4,1255225003,15.07
Australia,2013,12384.65,74.45,1453127534,9.64
Australia,2014,4377.33,77.71,1388964346,18.4
Australia,2015,12126.14,83.75,1598691856,5.91
Australia,2016,6418.52,81.55,1388946858,14.36
Australia,2017,7442.14,78.76,1641024224,13.15
Australia,2018,7066.95,84.26,1417580596,14.16
Australia,2019,12133.06,78.96,1626034389,3.66
Australia,2020,15232.72,79.45,1512284643,17.03
Canada,2000,19268.29,68.35,828461444,6.09
Canada,2001,19775.63,68.38,834488836,6.16
Canada,2002,20002.37,68.89,846069585,6.08
Canada,2003,19798.62,68.47,857472515,4.4
Canada,2004,17740.16,69.15,865020898,5.67
Canada,2005,21331.48,68.95,859150133,4.68
Canada,2006,22460.05,67.48,890146776,2.73
Canada,2007,27270.91,69.36,896133426,7.81
Canada,2008,33097.66,70.38,833749335,2.62
Canada,2009,19487.1,68.85,927189336,3.68
Canada,2010,24810.53,67.34,887807139,1.37
Canada,2011,17698.26,65.93,876339476,9.02
Canada,2012,17396.05,75.27,961259647,6.16
Canada,2013,17876.47,70.82,908528008,5.92
Canada,2014,70249.2,68.78,1031017856,2.44
Canada,2015,25535.15,74.42,917998632,13.5
Canada,2016,36779.6,67.35,1021256536,9.96
Canada,2017,36715.59,63.86,922807639,3.98
Canada,2018,26455.36,71.49,1006771581,0.0
Canada,2019,34674.17,71.62,1054906397,11.3
Canada,2020,46485.32,71.19,1003880841,0.0
France,2000,17166.52,81.73,1321962778,1.75
France,2001,16953.11,81.99,1334920954,1.9
France,2002,17889.81,81.84,1361091126,1.34
France,2003,18372.19,81.6,1353249468,1.32
France,2004,19071.97,81.55,1410167361,0.48
France,2005,18438.06,81.54,1439877230,1.79
France,2006,23130.65,80.25,1414458140,3.05
France,2007,20055.42,83.57,1392110683,4.36
France,2008,33946.88,81.55,1406433522,4.84
France,2009,30873.09,81.24,1418968033,0.54
France,2010,13978.63,80.39,1389281893,0.0
France,2011,21106.11,82.79,1604291177,0.0
France,2012,30663.3,81.82,1485249479,3.58
France,2013,14351.74,83.37,1520713673,3.02
France,2014,25502.17,89.3,1453758828,0.0
France,2015,17505.85,80.81,1463699288,6.35
France,2016,45362.62,80.7,1451006593,3.21
France,2017,18196.46,84.73,1592559257,0.0
France,2018,54629.74,89.09,1497108551,0.0
France,2019,29320.63,83.95,1698958479,12.26
France,2020,22980.71,79.54,1406479186,0.0
